ProductID,ProductName,Category,UnitPrice,StockQuantity,Supplier
2068,Home-Read,Electronics,820.24,12,TechCorp
2069,Clothing-Garden,Home,232.39,600,StyleSupply
2070,Clothing-About,Clothing,34.18,350,TechCorp
2071,Clothing-Success,Office,615.16,780,StyleSupply
2072,Electronics-Become,Office,420.3,65,HomeGoodsInc
2073,Clothing-Executive,Office,499.43,420,OfficeWorld
2074,Clothing-Strong,Clothing,659.5,1500,TechCorp
2075,Electronics-Letter,Electronics,780.64,33,StyleSupply
2076,Clothing-Affect,Clothing,806.07,999,HomeGoodsInc
2077,Office-Ball,Electronics,561.83,210,OfficeWorld
2078,Electronics-Film,Office,142.01,12,TechCorp
2079,Office-Who,Home,950.54,600,StyleSupply
2080,Office-Doctor,Office,832.26,350,TechCorp
2081,Office-Light,Clothing,746.22,780,StyleSupply
2082,Office-Figure,Office,266.6,65,HomeGoodsInc
2083,Clothing-Cut,Home,768.16,420,OfficeWorld
2084,Office-Stuff,Clothing,281.85,1500,TechCorp
2085,Electronics-Officer,Home,242.15,33,StyleSupply
2086,Home-Of,Home,894.1,999,HomeGoodsInc
2087,Electronics-Rather,Clothing,159.32,210,OfficeWorld
2088,Office-Evening,Clothing,709.35,12,TechCorp
2089,Electronics-Action,Office,413.52,600,StyleSupply
2090,Office-Staff,Office,71.64,350,TechCorp
2091,Office-Mrs,Office,905.79,780,StyleSupply
2092,Electronics-Add,Office,482.21,65,HomeGoodsInc
2093,Home-Real,Home,755.94,420,OfficeWorld
2094,Office-Fight,Clothing,493.35,1500,TechCorp
2095,Home-Seem,Office,490.79,33,StyleSupply
2096,Office-Discuss,Home,672.18,999,HomeGoodsInc
2097,Office-Recent,Clothing,842.1,210,OfficeWorld
2098,Clothing-Trouble,Electronics,907.86,12,TechCorp
2099,Electronics-Several,Electronics,646.32,600,StyleSupply
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
